title,rank,date,artist,url,region,chart,trend,streams
Chained To The Rhythm,32,2017-03-01,"Katy Perry, Skip Marley",https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,Bolivia,top200,MOVE_UP,2250
Ando buscando (feat. Piso 21),33,2017-03-01,Carlos Baute,https://open.spotify.com/track/7BwJtE8KSbCQKOCTIAY3jX,Bolivia,top200,MOVE_UP,2236
Bailame Despacio,34,2017-03-01,"Xantos, Dynell",https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,Bolivia,top200,SAME_POSITION,2171
La Bicicleta,35,2017-03-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Bolivia,top200,MOVE_DOWN,2170
Starboy,36,2017-03-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Bolivia,top200,MOVE_UP,2168
Andas En Mi Cabeza,37,2017-03-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Bolivia,top200,MOVE_DOWN,2167
Chillax (feat. Ky-Mani Marley),38,2017-03-01,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,Bolivia,top200,SAME_POSITION,2013
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",39,2017-03-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Bolivia,top200,MOVE_DOWN,1990
Shaky Shaky,40,2017-03-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Bolivia,top200,MOVE_DOWN,1984
24K Magic,41,2017-03-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Bolivia,top200,MOVE_UP,1890
Traicionera - Remix,42,2017-03-01,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,Bolivia,top200,SAME_POSITION,1829
My Way,43,2017-03-01,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,Bolivia,top200,MOVE_UP,1822
El chisme,44,2017-03-01,Reykon,https://open.spotify.com/track/4VXejnj5WgM6H72ct2fSgQ,Bolivia,top200,MOVE_UP,1797
One Dance,45,2017-03-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Bolivia,top200,MOVE_UP,1788
In the Name of Love,46,2017-03-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Bolivia,top200,MOVE_DOWN,1782
Cold Water (feat. Justin Bieber & MÃ),47,2017-03-01,Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Bolivia,top200,MOVE_DOWN,1773
Borro Cassette,48,2017-03-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Bolivia,top200,MOVE_DOWN,1752
We Don't Talk Anymore (feat. Selena Gomez),49,2017-03-01,Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,Bolivia,top200,SAME_POSITION,1726
Sigo ExtraÃ±Ã¡ndote,50,2017-03-01,J Balvin,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,Bolivia,top200,MOVE_UP,1601
I Took A Pill In Ibiza - Seeb Remix,51,2017-03-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Bolivia,top200,MOVE_DOWN,1530
SÃ© Que Te Duele,52,2017-03-01,"Alejandro FernÃ¡ndez, Morat",https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,Bolivia,top200,MOVE_UP,1515
Cold,53,2017-03-01,"Maroon 5, Future",https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,Bolivia,top200,MOVE_DOWN,1510
Just Hold On,54,2017-03-01,"Steve Aoki, Louis Tomlinson",https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,Bolivia,top200,MOVE_UP,1499
Lumbra,55,2017-03-01,"Cali Y El Dandee, Shaggy",https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK,Bolivia,top200,MOVE_DOWN,1412
Believer,56,2017-03-01,Imagine Dragons,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,Bolivia,top200,MOVE_UP,1383
Carnavalintro,57,2017-03-01,Chano,https://open.spotify.com/track/0tGAPnTFwRJA6FZgYZ0BAe,Bolivia,top200,SAME_POSITION,1333
Desde Esa Noche (feat. Maluma),58,2017-03-01,Thalia,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,Bolivia,top200,MOVE_DOWN,1302
Amor y dolor,59,2017-03-01,"Carlos Baute, Alexis y Fido",https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd,Bolivia,top200,MOVE_UP,1287
De Pies A Cabeza,60,2017-03-01,"ManÃ¡, Nicky Jam",https://open.spotify.com/track/2CkHE54EH44Qj945ynQRw7,Bolivia,top200,NEW_ENTRY,1270
Hear Me Now,61,2017-03-01,"Alok, Bruno Martini, Zeeba",https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,Bolivia,top200,MOVE_UP,1265
Me Llamas,62,2017-03-01,Piso 21,https://open.spotify.com/track/3jpqMaJREkmVDYlRvW1qWC,Bolivia,top200,MOVE_DOWN,1262
Fuego,63,2017-03-01,Juanes,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,Bolivia,top200,NEW_ENTRY,1249
Ya Me EnterÃ© (feat. Nicky Jam) - Urban Version,64,2017-03-01,Reik,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,Bolivia,top200,MOVE_DOWN,1247
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),65,2017-03-01,Major Lazer,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ,Bolivia,top200,NEW_ENTRY,1216
Shed a Light,66,2017-03-01,"Robin Schulz, David Guetta, Cheat Codes",https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,Bolivia,top200,NEW_ENTRY,1191
Noche Loca,67,2017-03-01,"Marama, Rombai",https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,Bolivia,top200,MOVE_DOWN,1181
Side To Side,68,2017-03-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Bolivia,top200,MOVE_DOWN,1180
Say You Won't Let Go,69,2017-03-01,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Bolivia,top200,NEW_ENTRY,1169
That's What I Like,70,2017-03-01,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,Bolivia,top200,NEW_ENTRY,1168
Castle on the Hill,71,2017-03-01,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Bolivia,top200,NEW_ENTRY,1164
Call On Me - Ryan Riback Extended Remix,72,2017-03-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Bolivia,top200,NEW_ENTRY,1144
Si me dices que sÃ­ (feat. Nicky Jam),73,2017-03-01,Cosculluela,https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8,Bolivia,top200,NEW_ENTRY,1115
Treat You Better,74,2017-03-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Bolivia,top200,NEW_ENTRY,1105
Bobo,75,2017-03-01,J Balvin,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,Bolivia,top200,NEW_ENTRY,1099
Issues,76,2017-03-01,Julia Michaels,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,Bolivia,top200,NEW_ENTRY,1066
Photograph,77,2017-03-01,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Bolivia,top200,NEW_ENTRY,1059
Tan FÃ¡cil,78,2017-03-01,CNCO,https://open.spotify.com/track/1TxgZRcy3kZ7JaEp88MDbC,Bolivia,top200,NEW_ENTRY,1058
DUELE EL CORAZON (feat. Wisin),79,2017-03-01,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Bolivia,top200,NEW_ENTRY,1036
Muchachita,80,2017-03-01,Bonny Lovy,https://open.spotify.com/track/0B38YZydPDJz9N4uR9hULg,Bolivia,top200,MOVE_DOWN,1027
Don't Let Me Down (feat. Daya),81,2017-03-01,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,Bolivia,top200,NEW_ENTRY,1012
Stay (with Alessia Cara),82,2017-03-01,Zedd,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,Bolivia,top200,NEW_ENTRY,1009
VocÃª Partiu Meu CoraÃ§Ã£o (feat. Anitta & Wesley SafadÃ£o),1,2017-03-01,Nego do Borel,https://open.spotify.com/track/0u8aj0c4IxeVSLTUuuq9V5,Brazil,top200,SAME_POSITION,318989
Shape of You,2,2017-03-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Brazil,top200,MOVE_UP,316902
Hear Me Now,3,2017-03-01,"Alok, Bruno Martini, Zeeba",https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,Brazil,top200,MOVE_UP,273829
Olha a ExplosÃ£o,4,2017-03-01,MC Kevinho,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,Brazil,top200,MOVE_DOWN,263841
Loka,5,2017-03-01,"Simone & Simaria, Anitta",https://open.spotify.com/track/257tme6AhneIKAqVF1HTH4,Brazil,top200,MOVE_DOWN,250951
çå,123,2017-03-02,Eli Hsieh,https://open.spotify.com/track/4QGYRrk7PPXJ3hEsn1BIRu,Taiwan,top200,MOVE_UP,3293
Vidinha de Balada - Ao Vivo,6,2017-03-01,Henrique & Juliano,https://open.spotify.com/track/4FHw39Ke6pVt5tNKvLr4r3,Brazil,top200,MOVE_UP,214377
Te Assumi Pro Brasil - Ao Vivo,7,2017-03-01,Matheus & Kauan,https://open.spotify.com/track/2d3TbSkAscvT3QRQalq6uT,Brazil,top200,MOVE_UP,187355
Deu Onda,8,2017-03-01,MC G15,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,Brazil,top200,MOVE_DOWN,185499
Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo,9,2017-03-01,Henrique & Diego,https://open.spotify.com/track/5SnQDj5REQVvAdSlhqkEcE,Brazil,top200,SAME_POSITION,164648
Something Just Like This,10,2017-03-01,"The Chainsmokers, Coldplay",https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,Brazil,top200,MOVE_UP,154481
Chained To The Rhythm,11,2017-03-01,"Katy Perry, Skip Marley",https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,Brazil,top200,MOVE_UP,152598
Eu Sei de Cor - Ao Vivo | AcÃºstico,12,2017-03-01,MarÃ­lia MendonÃ§a,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf,Brazil,top200,SAME_POSITION,148226
E Essa Boca AÃ­? - Ao Vivo,13,2017-03-01,Bruninho & Davi,https://open.spotify.com/track/6vve9WKW5I7fQzkU8dNsUE,Brazil,top200,MOVE_DOWN,146324
"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",14,2017-03-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Brazil,top200,MOVE_UP,145800
Sim ou nÃ£o (participaÃ§Ã£o especial Maluma),15,2017-03-01,Anitta,https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9,Brazil,top200,MOVE_DOWN,142177
Meu CoraÃ§Ã£o Deu PT - Ao Vivo,16,2017-03-01,"Wesley SafadÃ£o, Matheus & Kauan",https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll,Brazil,top200,MOVE_DOWN,141600
Decide AÃ­ - Na Praia / Ao Vivo,17,2017-03-01,Matheus & Kauan,https://open.spotify.com/track/0jIitZeIQRTaZgFQf2WpGK,Brazil,top200,MOVE_DOWN,134566
Medo Bobo - Ao Vivo,18,2017-03-01,Maiara & Maraisa,https://open.spotify.com/track/2CW04trIoYMbroZWDzPAjs,Brazil,top200,MOVE_DOWN,133820
It Ain't Me (with Selena Gomez),19,2017-03-01,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,Brazil,top200,MOVE_UP,132688
Acordando o PrÃ©dio,20,2017-03-01,Luan Santana,https://open.spotify.com/track/40bK2uosUmAS92c17n98xd,Brazil,top200,MOVE_UP,131683
10% - Ao Vivo,21,2017-03-01,Maiara & Maraisa,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L,Brazil,top200,MOVE_DOWN,126893
Tumbalatum,22,2017-03-01,MC Kevinho,https://open.spotify.com/track/4aAq1afusFG6jRiOSHQZvN,Brazil,top200,MOVE_DOWN,126596
